Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src Port
443.0,6.0,233.0,3.0,0.0,77.0,0.0,46.0,0.0,25.666666,23.459185,0.0,0.0,0.0,0.0,330472.1,12875.536,116.5,139.30003,215.0,18.0,233.0,116.5,139.30003,215.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,12875.536,0.0,0.0,46.0,30.75,21.68525,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,25.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,0.0,258.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54406.0
53.0,17.0,364.0,1.0,1.0,33.0,97.0,33.0,33.0,33.0,0.0,97.0,97.0,97.0,0.0,357142.84,5494.5054,364.0,0.0,364.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2747.2527,2747.2527,33.0,97.0,54.333332,36.950417,1365.3334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.5,33.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,1.0,97.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58018.0
443.0,6.0,1029.0,3.0,0.0,77.0,0.0,46.0,0.0,25.666666,23.459185,0.0,0.0,0.0,0.0,74829.93,2915.452,514.5,704.9855,1013.0,16.0,1029.0,514.5,704.9855,1013.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,2915.452,0.0,0.0,46.0,30.75,21.68525,470.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,25.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49953.0
55192.0,6.0,1.0,2.0,0.0,31.0,0.0,31.0,0.0,15.5,21.920311,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,2000000.0,0.0,0.0,31.0,20.666666,17.897858,320.33334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,946.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0
3389.0,6.0,1964036.0,8.0,7.0,1048.0,1429.0,581.0,0.0,131.0,196.15155,1149.0,0.0,204.14285,420.49908,1261.1785,7.6373343,140288.28,250216.64,968745.0,87.0,1964036.0,280576.56,396205.12,1169013.0,297.0,1807546.0,301257.66,327417.3,968745.0,158101.0,0.0,0.0,0.0,0.0,172.0,152.0,4.073245,3.5640895,0.0,1149.0,154.8125,302.85117,91718.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,165.13333,131.0,204.14285,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1048.0,7.0,1429.0,8192.0,62952.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287.0
52014.0,6.0,1.0,2.0,0.0,31.0,0.0,31.0,0.0,15.5,21.920311,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,2000000.0,0.0,0.0,31.0,20.666666,17.897858,320.33334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,946.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0
445.0,6.0,263124.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.201958,87708.0,151788.27,262978.0,70.0,263124.0,131562.0,185957.77,263054.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,32.0,11.401468,3.8004894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,8192.0,8192.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56449.0
53.0,17.0,18645.0,1.0,1.0,28.0,95.0,28.0,28.0,28.0,0.0,95.0,95.0,95.0,0.0,6596.943,107.267365,18645.0,0.0,18645.0,18645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,53.633682,53.633682,28.0,95.0,50.333332,38.68247,1496.3334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.5,28.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,95.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56326.0
53.0,17.0,782.0,1.0,1.0,38.0,86.0,38.0,38.0,38.0,0.0,86.0,86.0,86.0,0.0,158567.78,2557.5447,782.0,0.0,782.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1278.7723,1278.7723,38.0,86.0,54.0,27.712812,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,38.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,1.0,86.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59159.0
80.0,6.0,26466438.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755674,26500000.0,0.0,26500000.0,26500000.0,26500000.0,26500000.0,0.0,26500000.0,26500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0755674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2049.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,26500000.0,0.0,26500000.0,26500000.0,56691.0
